t [s],x [m],y [m],z [m],roll [deg],pitch [deg],yaw [deg]
270.69999999999305,141.32935838127148,33.357920400457175,535.014996467858,-0.1325363170176206,-4.792164256627048,36.2357391141901
270.7999999999931,141.39361600492683,33.40290109516025,535.0290521651641,-0.13254286772430254,-4.791974399574192,36.260176230547025
270.8999999999931,141.45785694935546,33.44791093405164,535.0431078049796,-0.13254940747034977,-4.791784819477912,36.28461428454422
270.9999999999931,141.52208119656896,33.492949909305125,535.0571633873335,-0.1325559362732812,-4.791595515990327,36.30905327465207
271.09999999999314,141.5862887285908,33.538018013085136,535.0712189122548,-0.13256245415059084,-4.79140648876388,36.333493199343366
271.19999999999317,141.65047952745616,33.583115237546814,535.085274379773,-0.13256896111974772,-4.791217737451336,36.35793405709326
271.2999999999932,141.71465357521203,33.62824157483597,535.0993297899171,-0.13257545719819602,-4.791029261705778,36.38237584637928
271.3999999999932,141.77881085391718,33.67339701708911,535.1133851427169,-0.13258194240335497,-4.790841061180614,36.40681856568134
271.49999999999324,141.84295134564212,33.71858155643346,535.1274404382018,-0.13258841675261904,-4.790653135529571,36.43126221348166
271.59999999999326,141.90707503246915,33.76379518498698,535.1414956764016,-0.13259488026335783,-4.790465484406699,36.45570678826488
271.6999999999933,141.97118189649228,33.80903789485834,535.1555508573463,-0.13260133295291607,-4.7902781074663645,36.48015228851796
271.7999999999933,142.0352719198173,33.85430967814696,535.1696059810656,-0.13260777483861386,-4.790091004363259,36.504598712730214
271.8999999999933,142.09934508456172,33.89961052694303,535.18366104759,-0.13261420593774637,-4.789904174752393,36.52904605939333
271.99999999999335,142.16340137285476,33.9449404333275,535.1977160569495,-0.13262062626758414,-4.789717618289096,36.55349432700132
272.0999999999934,142.22744076683745,33.99029938937208,535.2117710091745,-0.132627035845373,-4.789531334629017,36.57794351405054
272.1999999999934,142.29146324866238,34.035687387139305,535.2258259042956,-0.13263343468833405,-4.789345323428128,36.602393619039695
272.2999999999934,142.35546880049398,34.08110441868247,535.2398807423432,-0.13263982281366374,-4.789159584342717,36.62684464046982
272.39999999999344,142.41945740450836,34.126550476045715,535.2539355233482,-0.1326462002385339,-4.788974117029391,36.65129657684428
272.49999999999346,142.4834290428933,34.17202555126397,535.2679902473415,-0.13265256698009173,-4.7887889211450805,36.67574942666878
272.5999999999935,142.54738369784826,34.217529636363025,535.282044914354,-0.13265892305545987,-4.78860399634703,36.70020318845133
272.6999999999935,142.61132135158442,34.263062723359496,535.2960995244166,-0.13266526848173632,-4.788419342292804,36.724657860702294
272.79999999999353,142.6752419863246,34.30862480426087,535.3101540775608,-0.1326716032759946,-4.788234958640287,36.74911344193432
272.89999999999355,142.7391455843033,34.354215871065485,535.3242085738179,-0.13267792745528365,-4.788050845047682,36.7735699306624
272.9999999999936,142.80303212776667,34.39983591576256,535.3382630132193,-0.13268424103662801,-4.787867001173507,36.79802732540382
273.0999999999936,142.86690159897253,34.4454849303322,535.3523173957965,-0.1326905440370277,-4.787683426676602,36.82248562467819
273.1999999999936,142.93075398019036,34.491162906745416,535.3663717215813,-0.13269683647345823,-4.787500121216122,36.84694482700741
273.29999999999364,142.99458925370124,34.53686983696412,535.3804259906055,-0.13270311836287077,-4.78731708445154,36.8714049309157
273.39999999999367,143.05840740179795,34.582605712941145,535.3944802029009,-0.13270938972219207,-4.787134316042647,36.89586593492956
273.4999999999937,143.1222084067848,34.62837052662026,535.4085343584998,-0.13271565056832452,-4.786951815649551,36.92032783757781
